base_slice,threads,task_clock_cpu_utilized,task_clock_time_ms,context_switches,cpu_migrations,page_faults,cycles,stalled_cycles_frontend,stalled_cycles_backend,stalled_cycles_per_insn,instructions,branches,branch_misses,seconds_time_elapsed,seconds_user,seconds_sys,records
30ms,416,103.72260000000001,12486365.178,382672.8,28930.1,17930.3,38002220206114.8,239313832708.5,27061769802445.3,2.558,10586145997382.1,526564960253.6,601070295.5,120.38239384790002,12484.801473900001,7.337804799999999,1014801.3
30ms,520,103.7326,12490758.319000002,379474.4,39627.0,20501.2,38011568307502.8,239495613688.0,27072521785871.2,2.5589999999999997,10586746008304.1,526314358665.8,601571997.8,120.41296920530002,12489.5713707,6.819643000000001,1014946.1
30ms,624,103.7184,12497298.212,381355.0,29502.8,23880.7,38027884444978.5,239615306876.6,27088010342835.4,2.5599999999999996,10588221378857.7,526574914601.6,601890880.9,120.49279358700001,12495.7773337,7.368031800000002,1014399.1
30ms,728,103.66329999999998,12532179.331,382202.8,28052.8,26541.6,38130073088483.9,243241421113.1,27185038534066.1,2.565,10598556243262.3,532847025988.8,601479708.9,120.8928206313,12529.973801800003,8.9872728,1014343.3
30ms,832,103.6978,12536043.355,384345.1,28223.3,28093.1,38138665733361.8,243642171843.7,27194268935856.1,2.566,10599101212608.8,532562943876.9,602623985.8,120.8900219059,12533.8781899,9.838182399999997,1014537.2
30ms,936,103.74839999999999,12547939.341,426665.7,37474.3,37784.2,38166858449805.6,265107107500.9,27425338297977.9,2.631,10419767408312.6,523909789033.6,625124851.0,120.9456697281,12538.936525899999,13.4395573,993887.1
30ms,1040,103.7065,12584963.792,726791.7,70541.1,40647.0,38255996800820.2,330109324566.0,27860723831028.0,2.7630000000000003,10086686767968.9,515570521886.2,687184978.4,121.3520181637,12547.517013300001,43.1992742,962741.1
30ms,1144,103.73350000000002,12592877.176000003,1331385.4,96967.2,35569.7,38265757983154.6,390531078463.2,28078982947201.4,2.847,9879222983931.8,508429553810.0,785819161.8,121.3965849321,12510.1199243,86.8805467,940054.8
30ms,1248,103.70530000000001,12620558.95,2034359.6,167038.9,47086.5,38341671558202.3,437656816714.4,28180064226507.2,2.869,9840439914580.7,512552862792.7,879031299.2,121.6965353185,12492.024757300002,133.2971647,930270.1
30ms,1352,103.70720000000001,12681186.887,2872643.6,191658.5,29288.2,38514025460639.8,505146652109.7,28391250005393.0,2.9049999999999994,9776959760605.4,523289562215.7,990151612.4,122.2788036147,12482.624673200002,205.67512589999995,921256.8
30ms,1456,103.6865,12684978.290999997,3162158.0,212515.9,30631.8,38524157015861.7,519522027387.1,28307417624140.0,2.878,9866633208878.7,534593784665.4,1027264724.7,122.33978017499999,12449.1135208,246.04192199999997,926493.2
30ms,1560,103.7284,12722431.248999998,6022397.8,410708.5,26283.4,38594329515277.7,771197618544.4,28702161259638.0,3.039,9460362954768.0,558225119890.9,1411940313.4,122.65162539139999,12167.859521199998,561.8782263999999,865383.2
30ms,1664,103.7372,12755964.748,5140444.0,384074.9,32152.7,38707194509176.6,703079230457.9,28476997594816.0,2.91,9823985902910.6,592142764972.5,1288262337.8,122.96423628530002,12209.6658385,554.7361961,893314.4
30ms,1768,103.7424,12807746.802,7407248.2,570283.0,30423.3,38836943672128.7,920618040755.7,28674651356869.5,2.9629999999999996,9693362897858.8,647830268525.8,1602024448.9,123.45748090919999,11915.9941416,896.4016102000002,851152.4
30ms,1872,103.7945,12812065.298,4627241.0,369642.2,34967.7,38881870261899.7,682466999894.9,28512312604042.6,2.8589999999999995,9982035881072.1,613824224012.2,1230140984.6,123.43670719970001,12258.3644587,554.3164532,902885.5
30ms,1976,103.78110000000001,12895095.042,6891329.2,577589.9,32437.1,39101151488493.9,927515029351.0,28715828215610.5,2.899,9935260973953.9,711330377671.3,1537992032.8,124.25270821390002,11858.580971,1037.8392703000002,851445.2
30ms,2080,103.80120000000002,12846742.422,5566093.9,513175.9,38174.3,38973066261922.8,801614880157.2,28288649313627.2,2.761,10257070022101.7,718645330697.3,1345737629.6,123.7626299717,11914.3269655,934.1668050000001,884334.6
40ms,104,103.6439,12441774.392,10738.8,394.2,6484.2,37879726734176.9,228446400726.7,26915886454728.9,2.5349999999999997,10614844888026.8,524468290914.9,587190099.7,120.043485502,12441.5845677,0.24199929999999997,1018404.6
40ms,208,103.6768,12452699.774000002,266700.3,13547.9,11024.8,37908380481651.8,232444298008.1,26943956608008.0,2.5399999999999996,10610014314767.5,524633739663.3,597443726.7,120.11095383530001,12452.1703594,3.5602622000000004,1017850.0
40ms,312,103.4973,12439279.239000002,287245.8,29413.9,15429.5,37863556933818.6,234673429894.7,26932865491754.6,2.542,10587938728020.4,524004417133.1,599155367.5,120.1893878487,12438.5307951,5.5904503000000005,1014098.6
40ms,416,103.5011,12446272.299999999,287657.8,26448.3,18369.4,37880323305972.8,235332244813.2,26953125160997.6,2.5460000000000003,10584876820570.7,523891621268.5,598935435.5,120.25263624659999,12445.036830699999,8.637499899999998,1014769.0
40ms,520,103.72170000000001,12497674.314,299659.7,36546.8,20775.4,38033480889411.9,238582368859.2,27086870624107.0,2.557,10594915279016.6,527690039340.1,600944877.7,120.492480939,12496.2315815,9.700349300000003,1014688.0
40ms,624,103.6987,12512333.564000001,299751.5,29037.5,23654.8,38073700960330.7,239324718175.2,27118794176934.9,2.5569999999999995,10606309281081.8,529767992598.4,601410576.7,120.6604202206,12511.0411738,9.358705499999997,1013734.8
